mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Conviene Riego,Conviene Energia
72,1686.4805991915841,0.6066476975509295,95.15418240717976,7612334.59257438,449.0,160.84690465089588,0.358233640647875,1140.8016904296721,115.51276235794579,215.57715366459172,214.5889927393746,0.4996089684913559,0.880272661237709,0.7128249918096531,0.6289127948310467,78.33699808013394,1.8196622476454711,6.587454777982629,8.41006730141772,0,1
73,1681.9317184483516,0.6050114095137955,149.7645442099256,11981163.536794048,493.0,241.27749204588633,0.48940667757786277,1140.7586755293053,114.38026370993114,212.22197910037733,214.57080010873798,0.7060153704069928,1.0,0.9955345631380454,0.8944779626639819,121.76885645501403,4.948066283794464,9.947729967249803,13.099891503867283,0,1
74,1677.1215006815105,0.6032811153530613,119.80915426841719,9584732.341473375,470.0,199.74723273273358,0.4249941121973055,1140.4449331972903,113.23564785524509,209.00437914289677,214.4365404860784,0.5994718697996417,1.0,0.8432613373605785,0.7557801559833016,98.49317438343583,2.741013609802858,7.991102644874772,10.583863630303737,0,1
75,1672.1927328223287,0.601508177274219,107.37013402046765,8589610.721637411,314.0,164.9878372963391,0.5254389722813347,1139.9320161333435,112.10494159837131,205.9389886537737,214.2167864368402,0.7828966118411368,1.0,1.0,0.9825901992378451,85.89962661018778,4.0444162691365895,8.205591050424246,9.220500090719026,0,1
76,1667.3679556020934,0.5997726459000335,214.44981657534848,17155985.32602788,180.0,108.0,0.6,1139.3199343122542,111.03143444453143,203.0622448807161,213.95434196459178,1.0,1.0,1.0,1.0,161.8883669406658,9.398600053679909,18.73435541654563,24.428494164457142,0,1
77,1663.1655459752444,0.5982609877608793,196.49333560228587,15719466.84818287,155.0,93.0,0.6,1138.819136993568,110.12203763247464,200.48498720831557,213.73938414088616,1.0,1.0,1.0,1.0,148.21644007097973,8.600066439083934,17.144463844373128,22.532365247849093,0,1
78,1660.273225726416,0.5972205847936748,209.43111998337014,16754489.59866961,155.0,93.0,0.6,1138.7029795349038,109.51866150729512,198.36245771370056,213.6891269705166,1.0,1.0,1.0,1.0,158.18073696143932,9.11810903018367,18.066987244129148,24.065286747618007,0,1
79,1657.9139920615,0.5963719395904676,161.3418768891009,12907350.15112807,224.0,134.4,0.6,1138.6896276815964,109.04434484220565,196.49708184913686,213.68293768856114,1.0,1.0,1.0,1.0,121.85682618027569,7.109172899236396,14.073006349931422,18.3028714596574,0,1
80,1657.1049133773986,0.5960809040925894,126.6976919483611,10135815.355868889,359.0,192.36318130375088,0.5358305885898353,1139.1742755047771,108.91459973981806,195.12581692245084,213.89022121035262,0.8080265108645907,1.0,1.0,1.0,101.29209050513091,4.832675859264676,9.274573305649037,11.298352278316479,0,1
81,1656.956066733189,0.5960273621342406,131.9128890811425,10553031.126491401,449.0,214.04336327910787,0.4767112767908861,1139.8300953014027,108.92868490671353,194.02620389966378,214.17108262540887,0.6901380990670731,1.0,0.9402620389966379,0.87008787496385,108.17016499174308,3.9944542385598045,8.125133511492875,11.623136339346766,0,1
82,1658.1210202495963,0.5964464101617253,134.40285508709698,10752228.40696776,515.0,223.09537270950685,0.4331948984650618,1140.4414606321614,108.95532344665435,194.29108711704026,214.43314905374027,0.6180570218275473,1.0,0.8282325219740023,0.7828546801242622,111.23613383077223,3.0521952893343296,8.154976429469405,11.959549537521022,0,1
83,1661.1590418854375,0.5975392236997977,89.80028927776297,7184023.142221038,470.0,151.7447443683545,0.3228611582305415,1140.8393450777812,108.89362419656818,196.82213501328977,214.60393759779828,0.45279864590308727,0.7912615370979819,0.6318733518610342,0.5700190249810979,74.40626470698652,1.6445310361098515,5.763704741663702,7.9857887930029,0,1
84,1659.91911583582,0.5970932071351871,127.42787205683545,10194229.764546838,449.0,208.3964612696414,0.4641346576161279,1141.060087853455,108.76273464180828,195.3973702888863,214.69892305167062,0.6670151941140359,1.0,0.9221128902741713,0.8409083220603836,104.5963076234429,3.5800540439229804,8.003500824007347,11.248009565462226,0,1
